0 95
0 1 10
0 2 19
0 3 14
0 4 19
0 5 24
0 6 13
0 7 19
0 8 15
0 9 7
0 10 13
0 11 10
1 17 3
1 18 21
1 4 1
1 21 22
1 7 24
1 23 19
1 24 15
1 27 11
1 11 11
1 14 16
2 17 12
2 1 11
2 19 19
2 3 19
2 20 14
2 4 3
2 22 24
2 25 2
2 10 14
2 14 4
3 4 11
3 20 21
3 5 18
3 6 1
3 7 14
3 24 3
3 8 20
3 25 6
3 9 7
3 26 7
4 16 22
4 19 25
4 5 1
4 6 13
4 7 2
4 8 13
4 25 23
4 9 6
4 11 6
4 13 22
5 17 3
5 1 4
5 19 17
5 20 24
5 23 3
5 7 7
5 8 2
5 25 25
5 27 17
5 15 14
6 1 23
6 2 22
6 19 6
6 21 23
6 23 14
6 7 19
6 8 16
6 9 5
6 11 14
6 13 23
7 18 1
7 2 15
7 21 10
7 8 4
7 24 2
7 9 8
7 10 5
7 11 10
7 14 5
8 16 7
8 1 9
8 18 8
8 22 6
8 23 13
8 24 20
8 11 24
8 27 1
8 12 3
8 15 5
9 1 4
9 2 9
9 19 4
9 23 6
9 8 20
9 10 6
9 26 19
9 27 19
9 11 23
9 12 10
10 1 18
10 18 4
10 4 21
10 5 3
10 6 17
10 23 23
10 8 16
10 11 2
11 16 11
11 17 18
11 2 5
11 3 15
11 5 1
11 27 2
11 12 23
11 14 25
12 2 13
12 35 24
12 19 6
12 36 24
12 5 3
12 23 4
12 28 12
12 30 13
12 14 25
12 15 23
13 32 23
13 33 14
13 35 2
13 37 16
13 5 9
13 23 24
13 7 14
13 28 6
13 29 10
13 31 8
14 34 20
14 35 1
14 36 2
14 5 10
14 6 12
14 28 14
14 13 22
14 30 23
14 15 25
14 31 9
15 32 9
15 2 22
15 3 9
15 19 1
15 36 10
15 37 20
15 6 23
15 22 18
15 7 9
15 29 8
16 33 17
16 37 15
16 5 15
16 6 4
16 7 19
16 27 4
16 12 9
16 13 13
16 29 20
16 14 21
17 32 19
17 36 16
17 37 3
17 22 16
17 23 10
17 24 24
17 8 15
17 9 2
17 14 12
17 30 22
18 32 6
18 17 8
18 2 22
18 35 23
18 3 16
18 6 8
18 23 14
18 24 17
18 11 8
18 12 13
19 32 17
19 1 22
19 34 4
19 35 11
19 37 8
19 24 16
19 8 20
19 25 22
19 26 25
19 11 8
20 35 21
20 6 12
20 24 5
20 26 14
20 27 5
20 11 22
20 28 24
20 12 22
20 30 24
20 14 5
21 33 18
21 3 7
21 20 17
21 4 4
21 23 21
21 8 2
21 9 24
21 27 3
21 11 4
21 14 21
22 1 7
22 34 18
22 35 1
22 4 2
22 6 2
22 10 10
22 11 15
22 28 2
22 30 16
22 14 23
23 32 17
23 33 21
23 2 2
23 35 18
23 4 17
23 7 2
23 26 11
23 11 22
23 29 16
23 31 22
24 16 10
24 4 4
24 5 9
24 6 19
24 9 14
24 26 9
24 10 9
24 12 8
24 13 21
24 30 15
25 16 12
25 1 24
25 34 7
25 36 2
25 37 5
25 7 7
25 10 21
25 14 8
25 30 2
25 31 20
26 32 19
26 17 4
26 21 18
26 37 22
26 22 21
26 25 19
26 10 16
26 11 2
26 14 17
26 15 2
27 17 3
27 2 6
27 18 8
27 35 24
27 23 7
27 25 21
27 10 3
27 28 9
27 29 10
27 31 2
28 48 25
28 32 22
28 36 6
28 7 11
28 40 8
28 41 23
28 9 14
28 45 13
28 30 18
28 31 19
28 47 25
29 48 13
29 32 22
29 1 10
29 38 14
29 22 25
29 40 12
29 42 5
29 44 6
29 14 11
29 31 22
30 16 18
30 33 24
30 2 20
30 36 9
30 37 13
30 40 22
30 9 6
30 26 10
30 13 20
30 46 3
31 33 4
31 34 16
31 2 1
31 20 22
31 5 13
31 40 13
31 41 13
31 26 14
31 44 12
31 15 23
32 34 13
32 35 21
32 36 22
32 39 5
32 8 15
32 25 14
32 41 17
32 44 6
32 14 25
32 30 6
33 49 25
33 17 20
33 34 12
33 3 17
33 37 16
33 22 21
33 40 25
33 43 16
33 12 9
33 44 10
34 1 16
34 2 3
34 35 19
34 6 21
34 40 16
34 42 13
34 10 10
34 29 13
34 13 1
34 46 7
35 16 20
35 33 12
35 37 12
35 21 24
35 40 15
35 8 11
35 28 15
35 44 20
35 46 13
35 31 13
36 33 2
36 2 21
36 34 2
36 39 1
36 42 11
36 44 5
36 13 15
36 45 18
36 29 22
36 31 22
37 32 2
37 1 7
37 34 5
37 36 21
37 39 7
37 24 1
37 43 12
37 11 25
37 29 9
37 31 12
38 32 24
38 48 17
38 17 8
38 49 22
38 50 3
38 3 19
38 54 16
38 39 24
38 58 22
38 31 25
39 48 21
39 34 18
39 35 17
39 3 22
39 54 11
39 44 24
39 12 3
39 29 23
39 30 14
39 31 17
40 32 6
40 52 17
40 36 5
40 37 13
40 21 11
40 23 18
40 24 2
40 44 22
41 33 21
41 50 25
41 2 21
41 19 21
41 4 8
41 36 15
41 53 10
41 6 18
41 54 1
41 10 17
42 48 19
42 52 18
42 4 4
42 8 17
42 11 23
42 45 2
42 13 16
42 14 15
42 30 5
42 31 10
43 52 24
43 53 25
43 5 21
