0 31
0 1 13
0 2 11
0 3 6
0 4 15
0 5 1
0 6 2
1 2 12
1 5 2
1 7 15
1 9 4
1 10 2
2 4 15
2 9 5
2 10 9
2 11 1
2 12 10
3 2 5
3 4 13
3 6 12
3 10 10
3 11 8
4 1 5
4 6 7
4 8 13
4 10 7
4 12 13
5 2 1
5 9 10
5 10 7
5 11 2
5 12 7
6 7 15
6 8 2
6 10 15
6 11 3
6 12 7
7 16 5
7 18 6
7 3 3
7 12 8
7 15 15
8 17 15
8 1 6
8 3 14
8 12 15
8 13 8
9 4 10
9 6 11
9 7 4
9 11 4
9 15 1
10 16 13
10 18 10
10 12 3
11 17 8
11 1 6
11 4 14
11 8 8
11 10 12
12 1 10
12 3 8
12 9 13
12 13 14
12 14 2
13 1 14
13 21 12
13 22 8
13 7 1
13 9 2
14 1 3
14 2 3
14 20 3
14 6 1
14 9 13
15 19 1
15 20 13
15 22 14
15 6 11
15 11 6
16 21 14
16 6 8
16 24 11
16 9 9
16 13 15
17 1 1
17 18 7
17 19 3
17 20 1
17 21 3
18 22 14
18 24 7
18 8 4
18 9 7
18 14 10
19 18 6
19 8 15
19 28 13
19 29 8
19 13 4
20 4 14
20 21 4
20 25 8
20 26 5
20 29 6
21 3 9
21 4 3
21 23 10
21 26 10
21 28 15
22 16 4
22 3 14
22 7 15
22 8 15
22 29 13
23 17 9
23 8 2
23 27 12
23 12 13
23 29 6
24 4 15
24 5 1
24 6 2
24 25 2
24 14 10
25 1 15
25 2 13
25 21 10
25 30 5
25 31 9
26 18 4
26 13 11
26 14 2
26 31 6
27 6 1
27 25 11
27 10 12
27 11 10
27 31 13
28 3 9
28 6 12
28 27 9
28 31 9
29 4 15
29 10 15
29 27 11
29 31 6
30 4 11
30 6 7
30 31 5
30 15 12
